,titles,images,ratings,prices
17,"Lenovo IdeaPad 1 Intel Core Celeron N4020 14"" HD Thin and Light Laptop (4GB/256GB SDD/Windows 11 Home/1Yr ADP Free/Cloud Grey/1.3Kg), 82V6005CIN",https://m.media-amazon.com/images/I/71DpS8yemAL._AC_UY218_.jpg,4.1 out of 5 stars,"₹20,990"
18,"HP 15s, Ryzen 5-5500U, 16GB RAM/512GB SSD 15.6-inches(39.6 cm) FHD, Micro-Edge, Anti-Glare Laptop/Alexa Built-in/Windows 11 /AMD Radeon Graphics/Dual Speakers/MS Office 2021/1.69 Kg, 15s-eq2182AU",https://m.media-amazon.com/images/I/719ybm6QCaL._AC_UY218_.jpg,4.1 out of 5 stars,"₹42,990"
19,"[Smart Choice] Lenovo IdeaPad Gaming 3 Laptop AMD Ryzen 5 5500H 15.6"" (39.62cm) FHD IPS 300nits 144Hz (8GB/512GB SSD/Win 11/NVIDIA RTX 2050 4GB/Alexa/3 Month Game Pass/Shadow Black/2.32Kg), 82K20289IN",https://m.media-amazon.com/images/I/81rSur88g3L._AC_UY218_.jpg,4.1 out of 5 stars,"₹47,990"
20,"ASUS Vivobook 14, IntelCore i3-1215U 12th Gen, 14"" (35.56 cm) FHD, Thin and Light Laptop (8 GB RAM/512GB SSD/Win11/Office 2021/Fingerprint/42WHr /Silver/1.40 kg), X1404ZA-NK322WS",https://m.media-amazon.com/images/I/71hu2MKb3xL._AC_UY218_.jpg,4.1 out of 5 stars,"₹37,990"
21,"Acer Aspire 5 Gaming Laptop 13th Gen Intel Core i5(16GB RAM/512GB SSD/NVIDIA RTX 2050 4GB Graphics/144Hz/Win11Home)A515-58GM 15.6"" FHD Display, Steel Gray, Backlit Keyboard, Fingerprint Reader, 1.78KG",https://m.media-amazon.com/images/I/61s-dofl3DL._AC_UY218_.jpg,4.1 out of 5 stars,"₹64,990"
22,"Acer Predator Helios Neo 16 Gaming Laptop 13th Gen Intel Core i7 Processor (16 GB/1 TB SSD/Windows 11 Home/NVIDIA ® GeForce RTX ¢ 4050) PHN16-71, (16"") WUXGA Display",https://m.media-amazon.com/images/I/81E2srXhKVL._AC_UY218_.jpg,4.1 out of 5 stars,"₹1,17,990"
23,"Lenovo IdeaPad Slim 3 13th Gen Intel Core i7-13620H 15"" (38.1cm) FHD IPS 300 Nits Thin & Light Laptop (16GB/512GB SSD/Win 11/Office 2021/Alexa built-in/3 month Game Pass/Grey/1.62Kg), 83EM008GIN",https://m.media-amazon.com/images/I/81epBowa4UL._AC_UY218_.jpg,4.1 out of 5 stars,"₹61,990"
24,"Acer One 14 Business Laptop AMD Ryzen 3 3250U Processor (8GB RAM/256GB SSD/AMD Radeon Graphics/Windows 11 Home) Z2-493 with 35.56 cm (14.0"") HD Display",https://m.media-amazon.com/images/I/61HjuZI+z2L._AC_UY218_.jpg,4.1 out of 5 stars,"₹24,990"
25,"Walker Thin & Light Laptop, 14.1 inch (4GB Ram,128GB SSD) | FHD IPS Display 1920 * 1080 Resolution | Gemini Lake N4020 | UHD Graphics 600 | Windows 11 Home | Cloud Silver",https://m.media-amazon.com/images/I/61KqvioaXWL._AC_UY218_.jpg,4.1 out of 5 stars,"₹12,990"
26,"Lenovo LOQ 2024 12th Gen Intel Core i5-12450HX 15.6"" (39.6cm) 144Hz 300Nits FHD IPS Gaming Laptop (16GB/512GB SSD/Win 11/NVIDIA RTX 3050 6GB Graphics/100% sRGB/3 Mon. Game Pass/Grey/2.4Kg), 83GS003NIN",https://m.media-amazon.com/images/I/81tmCrtiRgL._AC_UY218_.jpg,4.1 out of 5 stars,"₹67,990"
27,"Lenovo IdeaPad 1 AMD Athlon Silver 7120U 15.6"" HD Thin and Light Laptop (8GB/512GB SDD/Windows 11 Home/1Year Warranty/MS Office/Cloud Grey/1.58Kg), 82VG00EQIN",https://m.media-amazon.com/images/I/71bDJ9wxxWL._AC_UY218_.jpg,4.1 out of 5 stars,"₹28,990"
28,"Lenovo IdeaPad 1 AMD Ryzen 5 5500U 15.6"" (39.62cm) FHD Thin & Light Laptop (8GB/512GB SSD/Windows 11/Office 2021/HD Camera/1 Year ADP Free/Grey/1.6Kg), 82R400BGIN",https://m.media-amazon.com/images/I/71bDJ9wxxWL._AC_UY218_.jpg,4.1 out of 5 stars,"₹35,990"
29,"HP Laptop 15s, AMD Ryzen 3 5300U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, AMD Radeon graphics, Thin & light, Dual speakers (Win 11, MSO 2021, Silver, 1.69 kg), eq2212AU",https://m.media-amazon.com/images/I/71A68Sti-4L._AC_UY218_.jpg,4.1 out of 5 stars,"₹31,990"
30,"HP Laptop 15,12th Gen Intel Core i3-1215U,15.6 inch(39.6 cm),FHD,Anti-Glare,8 GB DDR4,512 GB SSD,Windows 11,MSO,Dual Speakers,1.69 kg,Natural Silver,15s-fq5326TU",https://m.media-amazon.com/images/I/71A2rOksZtL._AC_UY218_.jpg,4.1 out of 5 stars,"₹36,800"
31,"MSI Thin 15, Intel Core i5-12450H, 40CM FHD 144Hz Gaming Laptop(16GB/512GB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 2050, Cosmos Gray/1.86Kg), B12UCX-1695IN",https://m.media-amazon.com/images/I/71VG3azYMjL._AC_UY218_.jpg,4.1 out of 5 stars,"₹62,990"
32,"Acer Aspire Lite 12th Gen Intel Core i5-1235U Thin and Light Metal Laptop (Windows 11 Home/16GB RAM/512GB SSD/Intel Iris Xe Graphics/MSO) AL15-52, 39.62cm (15.6"") Full HD Display, Steel Gray, 1.59 KG",https://m.media-amazon.com/images/I/51KL3aOZ0tL._AC_UY218_.jpg,4.1 out of 5 stars,"₹47,400"
33,"Acer Aspire Lite AMD Ryzen 5 5500U Premium Thin and Light Laptop (16 GB RAM/512 GB SSD/Windows 11 Home) AL15-41, 39.62 cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 KG",https://m.media-amazon.com/images/I/71czGb00k5L._AC_UY218_.jpg,4.1 out of 5 stars,"₹36,990"
34,"HP Laptop 15, 13th Gen Intel Core i3-1315U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, Thin & light, Intel Iris Xᵉ graphics, Dual speakers (Win 11, MSO 2021, Silver, 1.59 kg), fd0006TU",https://m.media-amazon.com/images/I/71cSPs0TL7L._AC_UY218_.jpg,4.1 out of 5 stars,"₹40,980"
35,"Acer Aspire Lite 12th Gen Intel Core i3-1215U Premium Metal Laptop (Windows 11 Home/8 GB RAM/512GB SSD) AL15-52, 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 Kg",https://m.media-amazon.com/images/I/71czGb00k5L._AC_UY218_.jpg,4.1 out of 5 stars,"₹33,999"
36,"Acer Aspire Lite AMD Ryzen 5 5500U Premium Thin and Light Laptop (16 GB RAM/512 GB SSD/Windows 11 Home) AL15-41, 39.62 cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 KG",https://m.media-amazon.com/images/I/71czGb00k5L._AC_UY218_.jpg,4.1 out of 5 stars,"₹36,990"
37,"Dell 14 Laptop, Intel 13th Generation Core i5-1334U Processor, 8GB DDR5 & 512GB SSD, 14""(35.52cm) FHD+ AG 250nits, Windows 11 + MSO'21 + 15 Month Mcafee Antivirus, Titan Grey, Thin & Light- 1.55kg",https://m.media-amazon.com/images/I/71tSrDl1TaL._AC_UY218_.jpg,4.1 out of 5 stars,"₹51,990"
38,"Dell Inspiron 3520 Laptop, Intel Core i5-1235U Processor, 16GB,512GB,15.6"" (39.62cm) FHD Display, Backlit Keyboard, Win 11 + MSO'21,15 Month McAfee, Silver, Thin & Light-1.65kg",https://m.media-amazon.com/images/I/61LKYyGTn7L._AC_UY218_.jpg,4.1 out of 5 stars,"₹52,499"
39,"HP Laptop 15s, 12th Gen Intel Core i3, 15.6-inch (39.6 cm), 8GB DDR4, 512GB SSD, Thin & light, Dual speakers (Win 11, MSO 2021, Silver, 1.69 kg), fq5007TU / FQ5327TU",https://m.media-amazon.com/images/I/71geuDTcr-L._AC_UY218_.jpg,4.1 out of 5 stars,"₹38,990"
40,"Lenovo IdeaPad Pro 5 Intel Evo Core Ultra 9 185H Built-in AI 14"" (35.56cm) 2.8K-OLED 400Nits 120Hz Laptop (32GB/1TB SSD/Win11/Office 21/FHD+IR Camera/Alexa/3 Mon Game Pass/Grey/1.4Kg), 83D2001GIN",https://m.media-amazon.com/images/I/81Ev2S5nrVL._AC_UY218_.jpg,4.1 out of 5 stars,"₹1,08,990"
41,"HP Laptop 15s, Intel Celeron N4500, 15.6-inch (39.6 cm), HD, 8GB DDR4, 512GB SSD, Intel UHD graphics, 720p HD camera, Thin & light, Dual speakers (Win 11, Black, 1.65 kg), fq3066TU",https://m.media-amazon.com/images/I/7113zsRFupL._AC_UY218_.jpg,4.1 out of 5 stars,"₹26,490"
42,"ASUS Vivobook 14 Thin and Light Laptop, IntelCore i3-1215U 12th Gen, 14"" (35.56 cm) FHD, (8 GB RAM/512GB SSD/Win11/Office 2021/Fingerprint/42WHr /Blue/1.40 kg), X1404ZA-NK321WS",https://m.media-amazon.com/images/I/71qTbS09tjL._AC_UY218_.jpg,4.1 out of 5 stars,"₹37,990"
